REC_ID,COMPANY,DISPOSITION_TYPE,PRIMARY_CRIME_CODE,USAO,COUNTRY,DATE,FINE,TOTAL_PAYMENT,AGMT_YEAR
2753,Ameri-Cana Transport Inc.,plea,Antitrust,Maine,United States,8/9/2000,45000,45000,2000
3107,"AmeriI-Source International, INC.",plea,Import / Export,Pennsylvania - Western District,United States,2/23/2016,250000,2387420,2016
909,Americable International Moffet Inc.,plea,Fraud - General,Florida - Southern District,United States,9/18/2003,7500000,12954720,2003
910,Americable International New York Inc.,plea,Fraud - General,Florida - Southern District,United States,9/18/2003,7500000,12954720,2003
167,"Americable International, Inc.",plea,Fraud - General,Florida - Southern District,United States,9/22/2003,7500000,12954720,2003
168,"American Benefits Services, Inc.",plea,Fraud - General,Florida - Southern District,United States,6/19/2001,0,31093005,2001
911,American Business Corp.,plea,Fraud - General,South Carolina,United States,3/23/2007,10000,10000,2007
2544,"American Commercial Colleges, Inc.",plea,Other,Texas - Northern District,United States,10/2/2014,1200000,2172795,2014
913,American Consulting and Distribution Corp.,plea,Import / Export,New York - Eastern District,United States,2/6/2004,300000,300000,2004
914,American Dispatch Inc.,plea,Food,Pennsylvania - Western District,United States,11/3/2009,5000,5000,2009
169,"American Ecology Recycle Center, Inc.",plea,Environmental,Tennessee - Eastern District,United States,8/21/2002,10000,10000,2002
569,American Express Bank Int'l,DP,Bank Secrecy Act,USDOJ - Criminal Division - Asset Forfeiture & Money Laundering Section,United States,8/3/2007,0,55000000,2007
2754,American International Contractors Inc.,plea,Antitrust,"Alabama - Northern District,USDOJ - Antitrust Division (Atlanta)",United States,9/7/2000,4200000,4200000,2000
10,American Italian Pasta Co.,NP,Fraud - General,Missouri - Western District,United States,9/15/2008,7500000,7500000,2008
3039,"American Management Services, LLC",DP,Fraud - General,Virginia - Eastern District|USDOJ - Criminal Division - Fraud Section,United States,12/1/2016,1625125,1625125,2016
916,American Metal Processing Inc.,plea,Environmental,California - Southern District,United States,4/3/2007,50000,50000,2007
170,American Mortgage Corp.,plea,Environmental,Missouri - Eastern District,United States,1/20/2006,25000,25000,2006
917,American Plumbing Specialties Company Inc.,plea,Other,Pennsylvania - Western District,United States,5/22/2003,0,106983,2003
171,American Refrigeration Corp.,plea,Environmental,New Hampshire,United States,5/3/2011,40000,40000,2011
172,American River Transportation Co.,plea,Environmental,Missouri - Eastern District,United States,4/3/2009,3000000,3000000,2009
173,"American Sports Nutrition, Inc.",plea,Other,"New Jersey,USDOJ - Office of Consumer Litigation",United States,12/6/2011,500000,500000,2011
919,"Amgen, Inc.",plea,FDCA / Pharma,New York - Eastern District,United States,12/19/2012,136000000,150000000,2012
174,Amitech USA Ltd.,plea,Environmental,Louisiana - Middle District,United States,5/24/2007,1070000,1170000,2007
920,Amru International Trading Corp.,plea,Fraud - General,"Ohio - Southern District,USDOJ - Security & Emergency Planning Staff",United States,6/29/2005,250000,250000,2005
175,"Amscot Medical Labs, Inc.",plea,FDCA / Pharma,Tennessee - Western District,United States,9/29/2006,388498,388598,2006
2999,Amtec Corporation,plea,Fraud - General,USAO,United States,8/17/2016,150000,249952,2016
921,Amyn Motors Inc.,plea,Bank Secrecy Act,Georgia - Northern District,United States,10/13/2011,10000,10000,2011
922,An Giang Agricultural and Food Import Export Co.,plea,Wildlife,Florida - Northern District,Vietnam,8/1/2011,10000,10000,2011
3120,"Anabolic Science Labs, LLC",plea,FDCA / Pharma,Tennessee - Western District,United States,6/1/2016,0,50000,2016
923,Anacostia Marina Inc.,plea,Environmental,District of Columbia,United States,2/20/2001,15000,25145,2001
924,Anchor Industrial Products,plea,Antitrust,USDOJ - Antitrust Division,United States,4/5/2001,600000,600000,2001
925,Anchor Seafood Inc.,plea,Import / Export,Florida - Southern District,United States,6/6/2006,50000,50000,2006
926,Andy's Orchids Inc.,plea,Import / Export,California - Southern District,United States,7/15/2009,25000,30424,2009
927,Aneri Corp.,plea,Controlled substances / Drugs / Meth Act,Georgia - Northern District,United States,8/21/2006,30000,30000,2006
928,Angel Health Care Inc.,plea,Fraud - Health Care,Ohio - Southern District,United States,4/19/2007,0,2712148,2007
929,Angel Toy Corp.,plea,Money Laundering,USDOJ - Criminal Division (California - Central District),United States,1/31/2012,200000,1200000,2012
3131,Angelakos (Hellas) S.A.,plea,Act to Prevent Pollution from Ships,,United States,10/21/2016,651200,651200,2016
930,Anghel Laboratories Inc.,plea,False Statements,New Jersey,United States,1/16/2003,100000,100000,2003
932,Animal Pharmaceuticals Inc.,plea,FDCA / Pharma,Washington - Eastern District,United States,2/26/2008,187411,500001,2008
934,Animune Inc.,plea,Food,South Carolina,United States,7/12/2004,4500,4500,2004
935,Anstine Enterprises Inc.,plea,Food,Missouri - Western District,United States,12/13/2007,10000,10000,2007
774,"Ansun Biopharma, Inc.",DP,Fraud - General,California - Southern District,United States,1/7/2015,0,1654600,2015
936,Antec Inc.,plea,Environmental,Kentucky - Western District,United States,4/28/2006,100000,130000,2006
937,Anthony Concrete Supply Corp.,plea,Environmental,New York - Eastern District,United States,5/14/2004,64000,64000,2004
653,Aon Corp.,NP,FCPA,USDOJ - Criminal Division - Fraud Section,United States,12/20/2011,1764000,1764000,2011
938,Apollo Energies Inc.,plea,Wildlife,Kansas,United States,10/30/2008,1500,1500,2008
939,Apollo LLC,plea,Gambling,Ohio - Northern District,United States,6/15/2004,1000,1000,2004
176,"Apothecure, Inc.",plea,FDCA / Pharma,"Texas - Northern District,USDOJ - Consumer Protection Branch",United States,10/24/2012,100000,100000,2012
572,Appalachian Oil,DP,Fraud - General,Virginia - Western District,United States,1/31/2007,0,255000,2007
940,Aqua Alliance Inc.,plea,Bribery,"Texas - Southern District (Financial Litigation),USDOJ - Antitrust Division",United States,12/20/2001,3000000,3000000,2001
177,Aquarosa Shipping A/S,plea,Act to Prevent Pollution from Ships,Maryland,Denmark,2/27/2012,462500,737500,2012
941,Aquatic & Physical Therapy Assoc.,plea,Fraud - Health Care,Michigan - Western District,United States,12/15/2004,0,193375,2004
942,"Aquatic Trading Company, Inc.",plea,Other,Florida - Southern District,United States,6/13/2013,3000,3000,2013
943,Aquila Farms LLC,plea,Immigration,Michigan - Eastern District,United States,11/18/2011,500000,500000,2011
178,Aracoma Coal Co.,plea,OSHA / Workplace Safety / Mine Safety,West Virginia - Southern District,United States,5/11/2010,2500000,2500000,2010
944,Arcadia Energy LLC,plea,Bribery,Vermont,United States,10/12/2007,130000,130000,2007
11,Archer Daniels Midland Co.,NP,FCPA,"Illinois - Central District,USDOJ - Criminal Division - Fraud Section",United States,12/20/2013,9450000,9450000,2013
945,Archer Daniels Midland Company,plea,Environmental,Tennessee - Eastern District,United States,3/20/2008,100000,100000,2008
946,Arctic Glacier Int'l Inc.,plea,Antitrust,USDOJ - Antitrust Division,United States,3/3/2010,9000000,9000000,2010
2755,Argenbright Holdings Ltd,plea,False Statements,Pennsylvania - Eastern District,United States,10/20/2000,1000000,1349999,2000
3114,"Arianna Beauty, Inc",plea,FDCA / Pharma,California - Central District,United States,5/2/2016,5000,6650,2016
2756,Arizona Company Medical,plea,Controlled substances / Drugs / Meth Act,Louisiana - Eastern District,United States,9/22/2000,200000,200000,2000
947,"Arizona Trailer Manufacturing, Inc.",plea,Immigration,Arizona,United States,7/13/2011,15000,15000,2011
948,Ark-La-Tex Air Repair Inc.,plea,Fraud - General,Louisiana - Western District,United States,9/16/2009,0,1194300,2009
949,Arkansas Patient Transfer Inc.,plea,Fraud - Health Care,Arkansas - Western District,United States,2/12/2007,23200,65200,2007
950,Arkansas Transfer Service Inc.,plea,Fraud - Health Care,Arkansas - Western District,United States,2/12/2007,23200,65200,2007
654,"Armor Holdings, Inc.",NP,FCPA,USDOJ - Criminal Division - Fraud Section,United States,7/13/2011,10290000,10290000,2011
951,Arogya Inc.,plea,Money Laundering,Missouri - Eastern District,United States,5/19/2009,50000,1033140,2009
952,Arrow Sales Inc.,plea,Fraud - General,West Virginia - Northern District,United States,8/11/2006,10000,10000,2006
954,Arteva Specialties,plea,Antitrust,USDOJ - Antitrust Division,Luxembourg,1/31/2003,28500000,28500000,2003
2757,Arthritis and Pain Center Inc.,plea,Fraud - Health Care,Missouri - Eastern District,United States,8/18/2000,10000,85010,2000
756,ArthroCare Corp.,DP,Fraud - General,USDOJ - Criminal Division - Fraud Section,United States,1/9/2014,30000000,30000000,2014
955,Arthur A Watson & Company Inc.,plea,Other,Connecticut,United States,5/12/2005,8000,8000,2005
957,Asgard Associates LLC,plea,Environmental,USDOJ - Criminal Division (California - Southern District),United States,12/12/2012,0,176412,2012
958,Asha Ventures LLC,plea,Immigration,Kentucky - Eastern District,United States,10/24/2006,75000,75000,2006
959,Ashland Inc.,plea,Environmental,Minnesota,United States,1/15/2003,5400000,9150000,2003
960,Asiana Airlines Inc.,plea,Antitrust,USDOJ - Antitrust Division,South Korea,5/6/2009,50000000,50000000,2009
961,Asiana Pewaukee Inc.,plea,Immigration,Wisconsin - Eastern District,United States,5/18/2009,32000,32000,2009
744,Aspen Square Management,NP,Environmental,USDOJ - Environmental and Natural Resources Section,United States,8/26/2010,0,730000,2010
962,Asphalt Supply and Service Inc.,plea,Other,Montana,United States,10/17/2003,0,163752,2003
963,Astrazeneca Pharm LP,plea,Fraud - General,Delaware,United States,7/1/2003,63872156,63872156,2003
3136,"Atlanta Medical Center, Inc. ",plea,Fraud - General,USDOJ - Criminal Division - Fraud Section|Georgia - Northern District,United States,10/21/2016,0,84696727,2016
964,Atlantic Gas & Mart Inc.,plea,Bribery,USDOJ - Criminal Division (California - Central District),United States,3/12/2003,24000,24000,2003
179,Atlantic Medical Enterprises Corp.,plea,Money Laundering,Florida - Southern District,United States,6/11/2001,20000,20000,2001
180,Atlantic States Cast Iron Pipe Co.,plea,Environmental,New Jersey,United States,4/30/2009,8000000,8000000,2009
181,"Atlas Portable Service, Inc.",plea,Environmental,USDOJ - Criminal Division (California - Southern District),United States,3/19/2002,100000,110219,2002
967,Atlas Ship Management Ltd.,plea,Act to Prevent Pollution from Ships,Florida - Middle District,Turkey,12/15/2010,800000,900000,2010
2970,"Atlas Wood Products, Inc.",plea,Environmental,"USDOJ - Criminal Division (California - Southern District), USDOJ - Environment & Natural Resources Division - Environmental Crimes Section",United States,1/19/2016,50000,50000,2016
